ye,frm,cla,co,mshare,mshare_0,delta,cy,hp,hp_weight,size,pl,sp,ac,pr,nest_share,mshare_within,blp_inst_own_size,blp_inst_comp_size,blp_inst_own_hp_weight,blp_inst_comp_hp_weight,blp_inst_own_pl,blp_inst_comp_pl,p_elast_logit,p_elast_nestedlogit,frm_d1,frm_d2,frm_d3,frm_d4,frm_d5,frm_d6,frm_d7,frm_d8,frm_d9,frm_d10,frm_d11,frm_d12,frm_d13,frm_d14,frm_d15,frm_d16,frm_d17,frm_d18
91,27,3,295,.00008659665,.96551061,-9.3191509,1.721,.75,.72815531,.99923038,5,180,11,2.599,.0091485372,.0094656283,3.5211954,69.698135,2.304642,44.062969,15,350,-.0001077533,-.000058507696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,27,4,297,.000037109276,.96551061,-10.166546,2.316,.85000002,.6640625,1.1712987,5,179,11.4,3.29,.0042755939,.0086793266,3.3491271,69.52607,2.3687348,44.127064,15,350,-.000046177825,-.000025073552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,27,5,300,.00012728182,.96551061,-8.9340086,2.316,.95999998,.70072991,1.2016726,5,190,11.2,4.1599998,.0042997873,.029601887,3.3187532,69.495689,2.3320675,44.090397,15,350,-.00015837193,-.000085992506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,27,5,303,7.7894474e-06,.96551061,-11.727642,2.4349999,1.25,.93984962,1.148224,5,215,8.8999996,4.6900001,.0042997873,.001811589,3.3722019,69.549141,2.0929477,43.851276,15,350,-9.6932717e-06,-5.2632354e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,2,4,18,.0018401018,.96165568,-6.2588358,1.596,.73000002,.6134454,1.0517602,4,191,13.1,3.49,.0043078689,.42714897,1.16466,71.509705,.76124561,44.756947,5,354.5,-.0022856465,-.0012410562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2,5,21,.00095981132,.96165568,-6.9096751,1.9910001,1.1,.76124567,1.16466,5,211,10.6,4.8649998,.0012484051,.76883006,1.0517602,71.396805,.61344534,44.609146,4,353.5,-.0011932624,-.00064791547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,4,1,51,.0004812213,.96165568,-7.6000843,.89899999,.28999999,.41428569,.7239089,5,135,18.5,1.199,.0084884819,.056691092,10.905077,62.424992,6.8887944,39.027714,55,302.5,-.00059855339,-.00032500146,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,4,1,52,.00048618592,.96165568,-7.5898209,.99900001,.33000001,.44594598,.8174088,5,145,17,1.699,.0084884819,.057275958,10.811578,62.33149,6.8571339,38.996056,55,302.5,-.0006047255,-.00032835276,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,4,1,113,.000059687227,.96165568,-9.687294,1.108,.37,.4654088,.73200268,5,150,15.8,1.63,.0084884819,.0070315548,10.896984,62.416897,6.8376713,38.976593,55,302.5,-.000074271571,-.000040327843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,4,2,1,.000058570189,.96165568,-9.7061863,1.351,.66000003,.7021277,.88845187,5,178,11.7,2.29,.014989289,.0039074696,10.740535,62.260448,6.6009521,38.739872,55,302.5,-.000072881667,-.000039573159,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
